AMVEND	AMNAME	AMADR1	AMADR2	AMADR3	AMTELE	AMFRGT	actual_term
1	BROAN MFG OR EDN	4641 PAYSPHERE CIRCLE	CHICAGO,IL 60674         		8778470145	1250	2% 10TH PROX
172	HUNTER FAN COMPANY	P O BOX 19773		PALATINE IL 60055-9773	9017441200	1000	1% 20TH
10003	LEDVANCE OR IMARK	P O BOX 72524	(OSRAM)	CLEVELAND OH 44192	8002555042	1000	2% 90Days
10004	ADVANCE TRANSFORMER CO	P O BOX 100332	ATLANTA GA  30384		0	750	2% 10TH PROX
10005	LUTRON ELECTRONICS CO INC	P O BOX 644396		PITTSBURGH, PA 15264-4396	8005239466	500	1%10TH PROX
10007	COOPER LIGHTING OR IMARK	P O BOX 72524		CLEVELAND OH 44192	6153855566	2000	1.5% 25TH
10011	BRIDGEPORT FITTINGS INC OR EDN	P O BOX 75340	CLEVELAND OH 44101-2199		0	0	NET 30Days
10013	BROAN MFG CO OR IMARK	P O BOX 72524	CLEVELAND OH 44192		0	2000	2% 10TH PROX
10015	MISCELLANEOUS  WIRE	531 LAFAYETTE ST		NASHVILLE TN 37203	6158433300	0	NET 30Days
10019	EAGLE ELECTRIC MFG CO INC	P. O. BOX 4396	CHURCH STREET STATION	NEW YORK, NY  10261-4396 	7189378000	12000	2% 10TH PROX
10022	CUTLER-HAMMER INC	P O BOX 905473		CHARLOTTE NC 28290-5473	0	0	2% 10TH PROX
10028	INTERNATIONAL METAL HOSE CO	520 GOODRICH ROAD	BELLEVUE OH  44811		0	0	2% 10TH PROX
10030	ROYAL ELECTRIC, INC.          	P O BOX 13262	NEWARK, NJ  07101        		4017228600	0	2% 10TH PROX
10032	KLEIN TOOLS INC OR EDN	P O BOX 72524		CLEVELAND OH 44192	6012342127	0	2% 10TH PROX
10033	LEVITON MFG INC OR IMARK	P O BOX 72524		CLEVELAND OH 44192	8003238920	1500	2% 10TH PROX
10035	LOU MARKS	1514 W MAIN STREET	LOUISVILLE KY  40203		5025848441	500	NET 30Days
10043	LEGRAND/PASS & SEYMOUR	PO BOX 736431	DALLAS, TX 75373-6431         		8772953472	100	2% 10TH PROX
10046	NSI / TORK OR EDN	P O BOX 890888		CHARLOTTE NC 28289-0888	8003215847	1500	2% 10TH PROX
10050	AMERICAN INSULATED WIRE OR EDN	P O BOX 75340	CLEVELAND OH 44101-2199		4017260700	0	2% 10TH PROX
10052	GOULD INC DCD	BOX -S-3870	PHILADELPHIA PA  19178		0	0	NET 30Days
10057	S P I LIGHTING	P O BOX 188		MILWAUKEE WI 53288	2622421420	0	NET 30Days
10059	AMERICAN CIRCUIT BREAKER CORP	GENERAL SWITCH	P.O. BOX 32849	CHARLOTTE, NC  28232     	7044637361	0	2% 10TH PROX
10063	L E W ELECTRIC FITTINGS	1801 WEST ST CHARLES RD	MAYWOOD IL 60153		7083452075	0	5% 10Days
10079	PRODUCTO ELECTRIC CORPORATION	11 KINGS HIGHWAY	ORANGEBURG NY  10962		0	0	2% 10TH PROX
10083	INDUSTRIAL CONNECTIONS OR EDN	GENERAL INDUSTRIAL SOL	P O BOX 72524	CLEVELAND OH 44192	8778435586	1000	NET 30Days
10096	LSI MIDWEST LIGHTING	1065 SOLUTION CENTER		CHICAGO IL 60677	9132811100	0	NET 30Days
10098	MAL GAR	1900 WARNER ST	NASHVILLE TN 37203		6153293041	0	NET 30Days
10107	EVERGREEN LIGHTING	1379 RIDGEWAY ST	POMONA CA 91768		9098655599	0	1% 10Days NET 30Days
10119	G E LIGHTING SYSTEMS	P O BOX 100810	ATLANTA GA 30384-0810		8003216575	0	NET 30Days
