GROUP	GRDESC	STYLE	DESC
1	BASIC BATH STRIPS             	AD	BATH STRIPS,1-4 LIGHTS        
1	BASIC BATH STRIPS             	AE	BATH STRIPS,5-6 LIGHTS        
1	BASIC BATH STRIPS             	AH	BATH STRIPS,7 + LIGHTS        
2	BATH BRACKETS                 	AO	BATH,TRADITIONAL 1 LIGHT      
2	BATH BRACKETS                 	AP	BATH,TRADITIONAL 2 LIGHTS     
2	BATH BRACKETS                 	AQ	BATH,TRADITIONAL 3 LIGHTS     
2	BATH BRACKETS                 	AR	BATH,TRADITIONAL 4 LIGHTS     
2	BATH BRACKETS                 	AS	BATH,TRADITIONAL 5 + LIGHTS   
2	BATH BRACKETS                 	BA	BATH,BENT GLASS               
2	BATH BRACKETS                 	BD	BATH,CONTEMPORARY/DECO        
2	BATH BRACKETS                 	BE	BATH,COUNTRY/TXT FINISH       
2	BATH BRACKETS                 	BF	BATH,CAPIZ SHELL/STAINED GLS  
2	BATH BRACKETS                 	BG	BATH,FLUORESCENT              
2	BATH BRACKETS                 	BH	BATH,ALABASTER/STONE/FAUX     
2	BATH BRACKETS                 	BI	BATH,MIRRORED                 
2	BATH BRACKETS                 	BJ	BATH,PORCELAIN/CERAMIC        
2	BATH BRACKETS                 	BK	BATH,VICTORIAN/GASLIGHT       
2	BATH BRACKETS                 	BL	BATH,MISSION/NOUVEAU/PRIMITIVE
2	BATH BRACKETS                 	BM	BATH,NEO-CLASSIC/ANTQ REPROD  
2	BATH BRACKETS                 	BO	BATH,WOOD/WOOD COMBINATION    
2	BATH BRACKETS                 	BP	BATH,LEADED GLASS/CRYSTAL     
4	CEILING MEDALLIONS            	CM	MEDALLION 24IN DIAM OR LESS   
4	CEILING MEDALLIONS            	CN	MEDALLION 25IN DIAM OR MORE   
4	CEILING MEDALLIONS            	CO	NICHE/DOMES/STAIR BRKTS       
7	EXTERIOR FLUSH MOUNTS         	DF	EXT FLUSH MT,OTHER FINISHES   
7	EXTERIOR FLUSH MOUNTS         	DG	EXT FLUSH MT,BLACK FINISH     
8	EXTERIOR HANGING              	DL	EXT HANGING,ANTIQUE BRASS     
8	EXTERIOR HANGING              	DM	EXT HANGING,BLACK             
8	EXTERIOR HANGING              	DN	EXT HANGING,POLISHED BRASS    
8	EXTERIOR HANGING              	DO	EXT HANGING,OTHER FINISHES    
9	LANDSCAPE LIGHTING            	DC	LANDSCAPE,STEMS & STAKES      
9	LANDSCAPE LIGHTING            	DD	LANDSCAPE,EAVE LIGHTS         
9	LANDSCAPE LIGHTING            	DK	LANDSCAPE,PATH/SPREAD LIGHTS  
9	LANDSCAPE LIGHTING            	DQ	LANDSCAPE,ACCENT LIGHTS       
9	LANDSCAPE LIGHTING            	DR	LANDSCAPE,POST TOPS           
9	LANDSCAPE LIGHTING            	DS	LANDSCAPE,POLES/BASES/PIER MTS
9	LANDSCAPE LIGHTING            	DT	LANDSCAPE ACCESSORIES         
9	LANDSCAPE LIGHTING            	DU	LANDSCAPE WELL AND STEP LIGHTS
10	EXTERIOR WALL MOUNT           	DV	EXT WALL MT,OTHER FINISHES    
10	EXTERIOR WALL MOUNT           	DW	EXTERIOR WALL MT,BLACK        
10	EXTERIOR WALL MOUNT           	DX	EXT WALL MT,POLISHED BRASS    
10	EXTERIOR WALL MOUNT           	DY	EXT WALL MT,BRONZE/RUST       
10	EXTERIOR WALL MOUNT           	DZ	GAS OUTDOOR LIGHTING          
11	CEILING FANS                  	EA	CEILING FAN,ACCESSORIES/MISC  
11	CEILING FANS                  	EB	CEILING FAN,DOWN RODS         
11	CEILING FANS                  	EC	CEILING FAN,32IN/42IN MOTOR   
11	CEILING FANS                  	ED	CEILING FAN,32IN/42IN BLADES  
11	CEILING FANS                  	EF	"52""FAN-DECORATIVE             "
11	CEILING FANS                  	EG	CEILING FAN,52IN + BLADES     
11	CEILING FANS                  	EH	CEILING FAN,LIGHT KITS/FITTERS
11	CEILING FANS                  	E1	"52""FAN-BUDGET WITH LIGHT KIT  "
11	CEILING FANS                  	E2	"52""FAN-BUDGET W/O LIGHT KIT   "
12	FLUORESCENTS                  	EJ	FLUOR,CIRCLINE                
12	FLUORESCENTS                  	EK	FLUOR,2X2 TRIMS               
12	FLUORESCENTS                  	EL	FLUOR,2X4 TRIMS               
12	FLUORESCENTS                  	EM	FLUOR,1X4 TRIMS               
12	FLUORESCENTS                  	EN	FLUOR,4X4 TRIMS               
12	FLUORESCENTS                  	EO	FLUOR,OTHER                   
12	FLUORESCENTS                  	EP	FLUOR,ACCESSORIES/PARTS/MISC  
12	FLUORESCENTS                  	EQ	FLUOR,STD LAYIN/WRAP/STRIP    
12	FLUORESCENTS                  	ER	FLUOR,2X2 CHASSIS             
12	FLUORESCENTS                  	ES	FLUOR,2X4 CHASSIS             
12	FLUORESCENTS                  	ET	FLUOR,1X4 CHASSIS             
12	FLUORESCENTS                  	EU	FLUOR,4X4 CHASSIS             
13	INTERIOR FLUSH MOUNTS         	FA	ANTIQUE/ANTIQUE REPRODUCTION  
13	INTERIOR FLUSH MOUNTS         	FB	INT FLUSH MT,ART NOUVEAU      
13	INTERIOR FLUSH MOUNTS         	FC	INT FLUSH MT,CONTEMPORARY     
13	INTERIOR FLUSH MOUNTS         	FD	INT FLUSH MT,TEXTURED FINISH  
13	INTERIOR FLUSH MOUNTS         	FE	INT FLUSH MT,CRYSTAL          
13	INTERIOR FLUSH MOUNTS         	FF	INT FLUSH MT,ALAB/STONE/FAUX  
13	INTERIOR FLUSH MOUNTS         	FH	INT FLUSH MT,UTILITY          
13	INTERIOR FLUSH MOUNTS         	FI	INT FLUSH,PORC/CERAMIC/FLORAL 
13	INTERIOR FLUSH MOUNTS         	FJ	INT FLUSH,STAINED GL/CAPIZ SHL
13	INTERIOR FLUSH MOUNTS         	FK	TRADTIONAL FLUSH MOUNT        
13	INTERIOR FLUSH MOUNTS         	FL	INT FLUSH,VICTORIAN/GASLIGHT  
13	INTERIOR FLUSH MOUNTS         	FM	INT FLUSH MT,WOOD/WICKER/CANE 
13	INTERIOR FLUSH MOUNTS         	FN	JUVENILE/NOVELTY              
13	INTERIOR FLUSH MOUNTS         	FO	INT FLUSH MT,BOUND GLASS      
13	INTERIOR FLUSH MOUNTS         	FP	INT FLUSH MT,CYLINDER/BULLET  
13	INTERIOR FLUSH MOUNTS         	FR	INT FLUSH MT,NEO-CLASSIC      
13	INTERIOR FLUSH MOUNTS         	FS	INT FLUSH MT,HIGH-TECH CONTEMP
13	INTERIOR FLUSH MOUNTS         	FT	INT FLUSH MT,LEADED GLASS     
13	INTERIOR FLUSH MOUNTS         	FU	INT FLUSH,CNTRY/PRIMIT/MISSION
13	INTERIOR FLUSH MOUNTS         	F1	TRADITONAL SEMI-FLUSH         
15	GLASS                         	GA	GLASS,2-1/4IN FITTER          
15	GLASS                         	GB	GLASS,3IN FITTER              
15	GLASS                         	GC	GLASS,4IN FITTER              
15	GLASS                         	GD	GLASS,OTHER FITTER SIZES      
16	INTERIOR HANGING              	HA	INT HANGING,ANTIQUE/ANTQ REPRO
16	INTERIOR HANGING              	HB	INT HANGING,ART DECO          
16	INTERIOR HANGING              	HC	JUVENILE/NOVELTY              
16	INTERIOR HANGING              	HD	PENDANTS, REGULAR SIZE        
16	INTERIOR HANGING              	HE	INT HANGING,LEADED GLASS      
16	INTERIOR HANGING              	HF	INT HANGING,GLS PANEL/ACRYLIC 
16	INTERIOR HANGING              	HG	INT HANGING,ART NOUVEAU       
16	INTERIOR HANGING              	HH	INT HANGING,CONTEMPORARY      
16	INTERIOR HANGING              	HL	MINI-PENDANT,CONTEMPORARY     
16	INTERIOR HANGING              	HM	"FOYER 0-20""HEIGHT             "
16	INTERIOR HANGING              	HN	"FOYER 21-35"" HEIGHT           "
16	INTERIOR HANGING              	HO	"FOYER 36""+ HEIGHT             "
16	INTERIOR HANGING              	HP	INT HANGING,WOOD/FAUX/CANE    
16	INTERIOR HANGING              	HQ	LED PENDANT                   
16	INTERIOR HANGING              	HR	INT HANGING,ALAB/STONE/FAUX   
16	INTERIOR HANGING              	HT	INT HANGING,CNTRY/IRON/MISSION
