id	description
9010101	INVENTORY LOCATION  
9060101	                    
9200101	COMM WHSE           
9270101	                    
9270201	                    
9270301	                    
9270401	                    
9270501	                    
9270601	                    
9270701	                    
9270801	                    
9270901	                    
9271001	                    
9271101	                    
9271201	                    
9280000	                    
9290101	                    
9290201	                    
9290301	                    
9290401	                    
9290501	                    
9290601	                    
9290701	                    
9290801	                    
9290901	                    
9291001	                    
9291101	                    
9291201	                    
9291301	                    
9300101	                    
9300201	                    
9300301	                    
9300401	                    
9300501	                    
9300601	                    
9300701	                    
9300801	                    
9300901	                    
9301001	                    
9301101	                    
9301201	                    
9310101	                    
9310102	                    
9310103	                    
9310104	                    
9310201	                    
9310202	                    
9310203	                    
9310204	                    
9310301	                    
9310302	                    
9310303	                    
9310304	                    
9310401	                    
9310402	                    
9310403	                    
9310404	                    
9310501	                    
9310502	                    
9310503	                    
9310504	                    
9330101	                    
9330201	                    
9330301	                    
9330401	                    
9330501	                    
9330601	                    
9330701	                    
9330801	                    
9330901	                    
9331001	                    
9331101	                    
9331201	                    
9331301	                    
9331401	                    
9331501	                    
9331601	                    
9331701	                    
9331801	                    
9331901	                    
9332001	                    
9332101	                    
9332201	                    
9332301	                    
9332401	                    
9332501	                    
9332601	                    
9332701	                    
9332801	                    
9332901	                    
9333001	                    
9333101	                    
9333201	                    
9333301	                    
9333401	                    
9333501	                    
9340101	                    
9340201	                    
9340301	                    
9340401	                    
9350101	                    
9350102	                    
9350103	                    
9350201	                    
9350202	                    
9350203	                    
9350301	                    
9350302	                    
9350303	                    
9350401	                    
9350402	                    
9350403	                    
9350501	                    
9350502	                    
9350503	                    
9350504	                    
9350505	                    
9350601	                    
9350602	                    
9350603	                    
9350604	                    
9350605	                    
9350701	                    
9350702	                    
9350703	                    
9350704	                    
9350705	                    
9350801	                    
9350802	                    
9350803	                    
9350804	                    
9350805	                    
9350901	                    
9350902	                    
9350903	                    
9350904	                    
9350905	                    
9360101	                    
9360102	                    
9360103	                    
9360104	                    
9360201	                    
9360202	                    
9360203	                    
9360204	                    
