IMDESC,ITMDSC,PRICCD,IMLIST,IMTCST,GROUP,IMSTYL,IMSER,IMRANK,IMGEN,IMXRBC,IMVND,ITEM,IMMCST
21616  FLUORESCENT 18IN T8  15W,                                        ,0,9.06,2.15,63,IC, ,1,300533,                    ,10003,F15T8/CW                                ,2.15
24441 F40T12 COOL WHITE DELUX  ,                                        ,0,2.5,1.5,63,IC, ,1,301101,24441-2             ,10003,F40CWX                                  ,1.29
24830  FLUOR 48IN T12       39W,                                        ,0,22.35,7.3,63,IC, ,8,301276,                    ,10003,F48T12/CW                               ,13.41
26001  FLUORESCENT 60IN T12 50W,                                        ,0,16,3.47,63,IC, ,1,301367,                    ,10003,F60T12/CW                               ,3.47
23116  FLUORESCENT  36IN T8 30W,                                        ,0,10.48,2.65,63,IC, ,1,307373,                    ,10003,F30T8/CW/24                             ,2.65
67533  HPS ED18 MOGUL BSE CLEAR,                                        ,0,20.49,14.23,63,IC, ,1,307729,                    ,10003,LU400/ECO                               ,13.56
14834  INCAN MED PINK      120V,                                        ,0,6.15,0.08,63,IC, ,1,308404,                    ,10003,50R20/PK                                ,3.69
64468  METALARC BT-56 MOGUL    ,                                        ,0,22.68,18.75,63,IC, ,1,309650,                    ,10003,M1000/U                                 ,18.75
20585 40W T5 FL TWIN 3500K     ,                                        ,0,14.33,8.6,63,IC, ,1,310722,                    ,10003,FT40DL/835/RS                           ,8.6
12763 100W A19 120V BUG-LITE   ,                                        ,0,2.42,0.59,63,IC, ,3,313586,                    ,10003,100A/Y/RP 120V                          ,0.59
21770 17WATT T8 2FT 741        ,                                        ,0,5.54,3.32,63,IC,N,1,314063,                    ,10003,FO17/741/ECO                            ,1.65
"21737 59W T8 96"" 3500K         ",                                        ,0,6.57,3.5,63,IC,N,9,314435,                    ,10003,FO96/735/ECO                            ,3.94
"22051 T8 6"" 3500 75CRI 32W     ",                                        ,0,10.52,4.05,63,IC,N,1,315152,                    ,10003,FBO32-735-6-ECO                         ,4.05
20668 CF18DD/E/841             ,                                        ,0,10.18,2.5,65,KC, ,8,315342,                    ,10003,CF18DD/E/841                            ,2.5
"21769 17W T8 24"" 3500K 78CRI   ",                                        ,0,4.32,2.9,63,IC, ,1,316241,                    ,10003,FO17/735/ECO                            ,1.65
"22052 32W T8 U-SHAPE 4100K 6""  ",                                        ,0,20.6,5.08,63,IC, ,1,316655,                    ,10003,FBO32/741/6/ECO                         ,4.68
20683 CF18DD/E/827             ,                                        ,0,6.48,2.5,63,IC, ,8,317132,                    ,10003,CF18DD/E/827                            ,2.5
15292 65W BR40 FLOOD 130V      ,                                        ,0,5.21,2.14,63,IC, ,3,317356,46135152924,10003,65BR/FL 130V                            ,2.72
16109 39W PAR 20 130V CAP FL   ,                                        ,0,7.15,3.71,63,IC, ,8,317926,                    ,10003,39PAR20/HAL/FL30 130V                   ,3.65
78362  L2 13W LED PAR 38 HD DIM,25° 30K    KIRKLANDS QUOTE # 8059456    ,0,65,12.8,63,IC,N,8,318833,                    ,10003,LED13PAR38/HD/DIM/930/NFL25             ,12.8
11 WATT DECORATIVE ORANGE 130  ,                                        ,0,1.2,0.55,0,Z7,N,3,13412698,                    ,10134,00060B 11S14/ORANGE                     ,0.55
