IMDESC	ITMDSC	PRICCD	IMLIST	IMTCST	GROUP	IMSTYL	IMRANK	IMGEN	IMXRBC	AMNAME	ITEM	IMMCST
EXT PROTECTION DBL/OVN 2 YEAR  	                                        	0	79	20	82	AB	7	90000763	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RI2D                                	20
EXT PROTECTION DBL/OVN 3 YEAR  	                                        	0	119	31	82	AB	7	90000771	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RI3D                                	31
EXT PROTETION DBL/OVN 5 YEAR   	                                        	0	169	53	82	AB	7	90000789	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RI5D                                	53
EXT PROTECTION REPLCMT 2 YEAR A	                                        	0	24	6	82	AB	7	90000797	                    	BEST BRANDS PLUS / MEGA GROUP 	3104SC2A                                	6
EXT PROTECTION REPLCMT 2 YEAR B	                                        	0	40	10	82	AB	7	90000804	                    	BEST BRANDS PLUS / MEGA GROUP 	3104SC2B                                	10
EXT PROTECTION REPLCMT 2 YEAR C	                                        	0	76	19	82	AB	7	90000812	                    	BEST BRANDS PLUS / MEGA GROUP 	3104SC2C                                	19
EXT PROTECTION MICRO 2 YEAR    	                                        	0	99	20	82	AB	7	90000820	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RX2D                                	20
EXT PROTECTION MICRO 3 YEAR    	                                        	0	149	31	81	SC	7	90000838	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RX3D                                	31
EXT PROTECTION MICRO 5 YEAR    	                                        	0	199	53	82	AB	7	90000846	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RX5D                                	53
EXT PROTECTION OTR 2 YEAR      	                                        	0	79	20	82	AB	7	90000854	                    	BEST BRANDS PLUS / MEGA GROUP 	3104SD2D                                	20
EXT PROTECTION OTR 3 YEAR      	                                        	0	119	31	82	AB	7	90000862	                    	BEST BRANDS PLUS / MEGA GROUP 	3104SD3D                                	31
EXT PROTECTION OTR 5 YEAR      	                                        	0	169	53	82	AB	7	90000870	                    	BEST BRANDS PLUS / MEGA GROUP 	3104SD5D                                	53
EXT PROTECTION ELEC/RNG 2 YEAR 	                                        	0	79	20	82	AB	7	90000888	                    	TMA INC                       	3104RA2D                                	20
EXT PROTECTION ELEC/RNG 3 YR   	                                        	0	119	31	82	AB	7	90000896	                    	TMA INC                       	3104RA3D                                	31
EXT PROTECTION ELEC/RNG 5 YR   	                                        	0	169	53	82	AB	7	90000903	                    	TMA INC                       	3104RA5D                                	53
EXT PROTECTION GAS/RNG 2 YR    	                                        	0	79	20	82	AB	7	90000911	                    	TMA INC                       	3104RB2D                                	20
EXT PROTECTION GAS/RNG 3 YR    	                                        	0	119	31	82	AB	7	90000929	                    	TMA INC                       	3104RB3D                                	31
EXT PROTECTION GAS/RNG 5 YR    	                                        	0	169	53	82	AB	7	90000937	                    	TMA INC                       	3104RB5D                                	53
EXT PROTECTION DF/RNG 2 YR     	                                        	0	79	20	82	AB	7	90000945	                    	TMA INC                       	3104RC2D                                	20
EXT PROTECTION DF/RNG 3 YR     	                                        	0	119	31	82	AB	7	90000953	                    	TMA INC                       	3104RC3D                                	31
EXT PROTECTION DF/RNG 5 YR     	                                        	0	169	53	82	AB	7	90000961	                    	TMA INC                       	3104RC5D                                	53
EXT PROTECTION PRO/DF RNG 2 YR 	                                        	0	79	20	82	AB	7	90000979	                    	BEST BRANDS PLUS / MEGA GROUP 	3104RD2D                                	20
EXT PROTECTION PRO/DF RNG 3 YR 	                                        	0	119	31	82	AB	7	90000987	                    	TMIO DISTRIBUTION, LLC        	3104RD3D                                	31
EXT PROTECTION PRO/DF RNG 5 YR 	                                        	0	169	53	82	AB	7	90000995	                    	TMIO DISTRIBUTION, LLC        	3104RD5D                                	53
EXT PROTECTION GAS/CKTP 2 YR   	                                        	0	79	20	82	AB	7	90001000	                    	TMIO DISTRIBUTION, LLC        	3104RE2D                                	20
EXT PROTECTION GAS/CKTP 3 YR   	                                        	0	119	31	82	AB	7	90001018	                    	TMIO DISTRIBUTION, LLC        	3104RE3D                                	31
EXT PROTECTION GAS/CKTP 5 YR   	                                        	0	169	53	82	AB	7	90001026	                    	TMIO DISTRIBUTION, LLC        	3104RE5D                                	53
EXT PROTECTION ELEC/CKTP 2 YR  	                                        	0	79	20	82	AB	7	90001034	                    	TMIO DISTRIBUTION, LLC        	3104RF2D                                	20
EXT PROTECTION ELEC/CKTP 3 YR  	                                        	0	119	31	82	AB	7	90001042	                    	TMIO DISTRIBUTION, LLC        	3104RF3D                                	31
EXT PROTECTION ELEC/CKTP 5 YR  	                                        	0	169	53	82	AB	7	90001050	                    	TMIO DISTRIBUTION, LLC        	3104RF5D                                	53
EXT PROTECTION DWNDFT/CKTP 2 YR	                                        	0	79	20	82	AB	7	90001068	                    	TMIO DISTRIBUTION, LLC        	3104SE2D                                	20
EXT PROTECTION DWNDFT/CKTP 3 YR	                                        	0	119	31	82	AB	7	90001076	                    	TMIO DISTRIBUTION, LLC        	3104SE3D                                	31
EXT PROTECTION DWNDFT/CKTP 5 YR	                                        	0	169	53	82	AB	7	90001084	                    	TMIO DISTRIBUTION, LLC        	3104SE5D                                	53
EXT PROTECTION WRM/DRWR 2 YR   	                                        	0	79	20	82	AB	7	90001092	                    	TMIO DISTRIBUTION, LLC        	3104RY2F                                	20
EXT PROTECTION WRM/DRWR 3 YR   	                                        	0	119	31	82	AB	7	90001109	                    	TMIO DISTRIBUTION, LLC        	3104RY3F                                	31
