state_id/id,state_code,country_id/id
base.state_us_aa,AA,base.us
base.state_us_ae,AE,base.us
base.state_us_2,AK,base.us
base.state_us_1,AL,base.us
base.state_us_ap,AP,base.us
base.state_us_4,AR,base.us
base.state_us_as,AS,base.us
base.state_us_3,AZ,base.us
base.state_us_5,CA,base.us
base.state_us_6,CO,base.us
base.state_us_7,CT,base.us
base.state_us_9,DC,base.us
base.state_us_8,DE,base.us
base.state_us_10,FL,base.us
base.state_us_fm,FM,base.us
base.state_us_11,GA,base.us
base.state_us_gu,GU,base.us
base.state_us_12,HI,base.us
base.state_us_16,IA,base.us
base.state_us_13,ID,base.us
base.state_us_14,IL,base.us
base.state_us_15,IN,base.us
base.state_us_17,KS,base.us
base.state_us_18,KY,base.us
base.state_us_19,LA,base.us
base.state_us_34,MA,base.us
base.state_us_33,MD,base.us
base.state_us_20,ME,base.us
base.state_us_mh,MH,base.us
base.state_us_35,MI,base.us
base.state_us_36,MN,base.us
base.state_us_38,MO,base.us
base.state_us_mp,MP,base.us
base.state_us_37,MS,base.us
base.state_us_21,MT,base.us
base.state_us_28,NC,base.us
base.state_us_29,ND,base.us
base.state_us_22,NE,base.us
base.state_us_24,NH,base.us
base.state_us_25,NJ,base.us
base.state_us_26,NM,base.us
base.state_us_23,NV,base.us
base.state_us_27,NY,base.us
base.state_us_30,OH,base.us
base.state_us_31,OK,base.us
base.state_us_32,OR,base.us
base.state_us_39,PA,base.us
base.state_us_pr,PR,base.us
base.state_us_pw,PW,base.us
base.state_us_40,RI,base.us
base.state_us_41,SC,base.us
base.state_us_42,SD,base.us
base.state_us_43,TN,base.us
base.state_us_44,TX,base.us
base.state_us_45,UT,base.us
base.state_us_47,VA,base.us
base.state_us_vi,VI,base.us
base.state_us_46,VT,base.us
base.state_us_48,WA,base.us
base.state_us_50,WI,base.us
base.state_us_49,WV,base.us
base.state_us_51,WY,base.us
